cpu_quota,mem_quota,qps
10000,10,0.10945147080522948
10000,20,0.19265110917263537
10000,30,0.18985247605787806
10000,40,0.19213614137527252
10000,50,0.26469450407314915
10000,60,0.2032252523910511
10000,70,0.1892439522003324
10000,80,0.1923332104850864
10000,90,0.17224642739823642
10000,100,0.16413457955113064
20000,10,0.09823451426092306
20000,20,0.37548448053385247
20000,30,0.44035794599742495
20000,40,0.5644948553053672
20000,50,0.6089525267584998
20000,60,0.5048984204731115
20000,70,0.5583195518642163
20000,80,0.5192763529565257
20000,90,0.5558329325580752
20000,100,0.4789785863723559
30000,10,0.1109091512278366
30000,20,0.48323656208404986
30000,30,0.7059363558641492
30000,40,0.772018975714112
30000,50,0.9120883223143365
30000,60,0.8583921713642145
30000,70,0.9401804358888424
30000,80,0.9005513466419207
30000,90,1.005548523327633
30000,100,0.8394750411822935
40000,10,0.10569875189722348
40000,20,0.5699385562843048
40000,30,0.755632142884167
40000,40,1.1209851078746689
40000,50,1.1177014402231664
40000,60,1.3170324768145287
40000,70,1.2728389160581701
40000,80,1.3934762088898685
40000,90,1.2864572264957277
40000,100,1.2507193402893362
50000,10,0.117187941931466
50000,20,0.5264086584861383
50000,30,1.0658626208349704
50000,40,1.0848507556761278
50000,50,1.4134874536972684
50000,60,1.4913271747697943
50000,70,1.6112163939313462
50000,80,1.5062865645682837
50000,90,1.4785662330043006
50000,100,1.6163804773679604
60000,10,0.09553325941859798
60000,20,0.6482730772065234
60000,30,1.001713189003281
60000,40,1.2016969397739243
60000,50,1.3003898076200977
60000,60,1.6157366754684508
60000,70,1.9718790953983838
60000,80,2.2010097701938025
60000,90,2.012368329676099
60000,100,2.062715520849306
70000,10,0.10493610791326848
70000,20,0.6146310859597061
70000,30,1.1194934552093616
70000,40,1.6440410531484264
70000,50,1.6771623937667122
70000,60,1.7099368435292959
70000,70,2.480947507928099
70000,80,2.580201719711954
70000,90,1.6468391649310785
70000,100,2.560618232456187
80000,10,0.11244025465661106
80000,20,0.5356954864525532
80000,30,0.9721596827959906
80000,40,1.6931970493211304
80000,50,1.8317668440862156
80000,60,2.049899195606534
80000,70,2.3435270464543603
80000,80,2.7155404571241637
80000,90,2.9981665830909443
80000,100,2.762644127891852
90000,10,0.10494217583435017
90000,20,0.6194749056066645
90000,30,1.190245900534385
90000,40,1.981652073631999
90000,50,1.7999167184136535
90000,60,1.8587351092732174
90000,70,2.7355717056099755
90000,80,3.3292758009759353
90000,90,3.158818697630492
90000,100,2.088824151339539
100000,10,0.10672450710317168
100000,20,0.6597049302587953
100000,30,1.1887746237000973
100000,40,1.422655961915538
100000,50,1.9948484432533227
100000,60,2.284399030810881
100000,70,2.7882303500586043
100000,80,2.90220077631705
100000,90,2.965406105716446
100000,100,3.9132495505570195
